Область,Місто,Номер,Адреса
Вінницька,Бершадь,144/01,вул. Миколаєнка, буд. 21
Вінницька,Вінниця,220/01,вул. Івана Бевза, 34
Вінницька,Вінниця,223/01,вул. Р.Скалецького, 4
Вінницька,Гайсин,260/01,вул. Центральна, 77
Вінницька,Гнівань,245/01,вул. Соборна, 64/57
Вінницька,Калинівка,231/01,вул. Незалежності, 67
Вінницька,Козятин,244/01,вул. Грушевського, буд. 68
Вінницька,Крижопіль,235/01,вул. Соборна, 7
Вінницька,Могилів-Подільський,221/01,вул. Київська, 6-а
Вінницька,Немирів,146/01,вул. Гімназійна, буд. 10а
Вінницька,Тиврів,240/01,вул. Тиверська, 79-а
Вінницька,Хмільник,238/01,вул. Соборності, 6
Волинська,Володимир,114/02,вул. Ковельська, 73
Волинська,Ковель,120/02,вул. Олени Пчілки, 7
Волинська,Луцьк,102/02,вул. Шопена, 1
Волинська,Луцьк,73/02,проспект Перемоги, 5
Дніпропетровська,Дніпро,175/03,вул. 93-ї Холодноярської Бригади, 12
Дніпропетровська,Павлоград,176/03,вул. Соборна, буд. 107/3
Дніпропетровська,Кам’янське,177/03,пр-т Тараса Шевченка, 20
Дніпропетровська,Кривий Ріг,183/03,пр-т Миру, 8
Дніпропетровська,Нікополь,185/03,просп. Трубників, 7
Дніпропетровська,Дніпро,189/03,пр-т Науки, 102
Дніпропетровська,Жовті Води,190/03,вул. Заводська, 1
Дніпропетровська,Дніпро,372/03,вул. Незалежності, 11
Дніпропетровська,Дніпро,400/03,просп. Слобожанський, 66
Дніпропетровська,Дніпро,414/03,вул. Надії Алексєєнко, буд.21
Донецька,Краматорськ,315/04,вул. Василя Стуса, 74
Донецька,Слов’янськ,320/04,вул. Шевченка, 11
Житомирська,Житомир,23/05,вул. Київська, 74
Житомирська,Коростень,18/05,вул. Грушевського, 11
Житомирська,Радомишль,22/05,вул. Соборний майдан, 4
Житомирська,Бердичів,42/05,вул. Житомирська, 23-А
Житомирська,Житомир,319/05,вул. Велика Бердичівська, 16
Житомирська,Звягель,322/05,вул. Замкова, 7
Житомирська,Житомир,457/05,просп. Миру, буд. 6.
Закарпатська,Ужгород,280/06,вул. Швабська, 70
Закарпатська,Мукачеве,282/06,вул. Миру, 3, приміщення 10
Закарпатська,Виноградів,283/06,вул. Миру, 17
Закарпатська,Хуст,284/06,вул. Б. Хмельницького, 15
Закарпатська,Свалява,285/06,вул. Головна, 70
Закарпатська,Тячів,437/06,вул. Незалежності, буд. 6а
Закарпатська,Ужгород,472/06,площа Корятовича, буд. 33
Запорізька,Запоріжжя,179/07,пр. Моторобудівників, буд. 3, прим. 21
Запорізька,Запоріжжя,184/07,бул. Вінтера, 40
Запорізька,Запоріжжя,188/07,пр-т Соборний, 95
Запорізька,Запоріжжя,368/07,вул. Незалежної України, 39
Запорізька,Запоріжжя,375/07,просп. Соборний, 60
Запорізька,Запоріжжя,455/07,пр-т Соборний, буд. 181, прим. 18
Івано-Франківська,Івано-Франківськ,17,вул. Шашкевича, 1/4
Івано-Франківська,Коломия,40,Вічевий Майдан, 3
